Company_Name,Website,Phone,Email,Location,Sector,Primary_Products,Export_Markets,Key_Markets,Growth_Drivers
Neptune Petrochemicals,http://www.neptunepetrochemicals.com,9825336999,info@neptunepetrochemicals.com,"Ahmedabad, Gujarat",Petrochemicals,"Petrochemical Products, Chemical Intermediates, Industrial Solvents, Specialty Petrochemicals","Nepal, Bhutan, United Arab Emirates","Nepal (Primary), UAE, South Asian Markets","Infrastructure development in neighboring countries, Bitumen demand growth, Pan-India presence with export capability"
Chemkart India Limited,http://www.chemkart.com,86554 19723,inquiry@chemkart.com,"Mumbai, Maharashtra",Chemical Trading & Distribution,"Chemical Trading, Industrial Chemicals Supply, Specialty Chemicals Distribution","Switzerland, Netherlands, Egypt","Domestic India (99.25%), Export SEZ Focus","New SEZ facility for exports, Nutraceutical CDMO expansion, India nutraceutical market growth"
TechD Cybersecurity Limited,https://techdefencelabs.com/,08645 628421,info@techdefence.com,"Ahmedabad, Gujarat",Cybersecurity Services,"Cybersecurity Solutions, Network Security, Data Protection, Security Consulting, Threat Assessment","UAE, USA, Kenya, Southeast Asia, Middle East, Europe, North America","Domestic (84%), International (16% and growing 6x)","Global cybersecurity market growth, GDPR compliance demand, Talent shortage creating opportunities, Celebrity investor backing (Vijay Kedia), 720x IPO oversubscription"
Salunkhe Packaging Pvt. Ltd.,http://www.salunkhepackaging.com,022-6951-1111,salunkhepack@gmail.com,"Mumbai, Maharashtra",Packaging Solutions,"Industrial Packaging, Food Packaging, Flexible Packaging, Corrugated Boxes, Packaging Design",Limited Export Activity,Domestic India,"E-commerce packaging growth, Food packaging demand, Flexible packaging trends"
Bhadora Industries,http://www.bhadoraindustries.com,9303782871,info@vidhutcables.com,"Indore, Madhya Pradesh",Industrial Manufacturing,"Industrial Components, Manufacturing Equipment, Engineering Products, Industrial Solutions",Limited Information Available,Domestic India,"Industrial manufacturing growth, Make in India initiative, Infrastructure development"
Geoptech Solutions Pvt. Ltd.,http://www.geoptech.com,9833207555,hcs@geoptech.com,"Mumbai, Maharashtra",Geological & Technical Services,"Geological Surveys, Geotechnical Services, Environmental Consulting, Site Investigation, Technical Consulting",Limited Export Activity,Domestic India,"Infrastructure projects growth, Environmental consulting demand, Site investigation services expansion"
Marc Loire Private Limited,http://www.marcloire.com,9289909822,care@marcloire.com,Delhi,Fashion & Lifestyle,"Fashion Apparel, Lifestyle Products, Branded Clothing, Fashion Accessories, Trendy Wear",Limited Information Available,Domestic India,"Fashion industry growth, Lifestyle products demand, Branded apparel market expansion"
Explicit Chemicals Pvt. Ltd.,https://explicitchemicals.com/,91460 04195,sales@explicitchemicals.com,"Pune, Maharashtra",Specialty Chemicals,Custom Chemical Synthesis,"Exporting globally, details include USA and other international markets","Pharmaceuticals, Nutraceuticals, Cosmetics, Agro-industry, Textile, Water Treatment","Strong research and development team, quality testing, in-house production facility with modern reactors and dryers, export focus, experienced leadership, increasing demand in pharmaceutical and specialty chemical sectors"
vasudha Chemicals Private Limited,http://www.vasudhachem.com,7208439888,vasudha@vasudhachem.com,"Navi Mumbai, Maharashtra",Specialty Chemicals,"Polyethylene Glycol, Polysorbate, Hydrogenated Castor Oil Ethoxylates, Glycerol Ester, Drug Intermediates, Pharmaceutical Excipients",Export markets globally,"Pharmaceuticals, Cosmetics, Food Processing, Industrial","4+ decades experience, ethoxylation & hydrogenation expertise, DNB Business Excellence Award 2024, quality certifications, MSME recognition"
Oilmax Systems Pvt Ltd,http://www.oilmax.co.in,7776078885,enquiry@oilmaxmarine.com,"Pune, Maharashtra",Industrial Engineering,"Oil Systems, Hydraulic Systems, Filtration Solutions, Industrial Engineering Products",Export markets,"Oil & Gas, Industrial Manufacturing, Heavy Machinery","Top MSME performer, remarkable revenue growth, strong EBIDTA performance, engineering excellence"
