Company_ID,Company_Name,Sector,Location,Founded_Year,Employee_Count,Primary_Products,Export_Markets,Annual_Export_Percentage,Website,Email,Phone,Registration_Number,Financial_Performance_Score,Operational_Efficiency_Score,Market_Position_Score,Innovation_Score,Overall_Performance_Score,Growth_Drivers,Key_Challenges,Market_Outlook,Key_Markets,Digital_Maturity_Level,Risk_Level,,
MSME001,Romsons Scientific & Surgical Industries,Medical Devices,"Agra, Uttar Pradesh",1993,520,"Surgical instruments, disposables, critical care devices","Asia, Africa, Middle East",45%,https://www.romsons.com,cus.care@romsons.com,-6620471, U24236UP1977PTC004511,Strong,High,Strong,Good,Strong,Export focus; Healthcare contracts; R&D,Raw material price volatility; Regulatory compliance,Positive (healthcare demand),"Hospitals (India), Exports (Africa, ME)",Medium,Low,,
MSME002,Dela Grain Foods Pvt Ltd,Food Processing / FMCG,"Jaora, Madhya Pradesh",2014,85,"Packaged pulses, cereals, dals, purees","Domestic HoReCa, limited exports",10%,https://delafoods.co.in,info@delafoods.co.in,70001 05995,U15122MP2014PTC032319,Developing,Medium,Growing,Developing,Medium,Farmer network; sustainable sourcing,Cold chain & scale-up logistics,Growing (value-added foods),"India (HoReCa), selective exports",Low,Medium,,
MSME003,Prevest DenPro Limited,Medical Devices / Dental,"Jammu, Jammu & Kashmir",1995,240,"Dental consumables, biomaterials","Europe, Middle East, Asia",30%,https://www.prevestdenpro.com,info@prevestdenpro.com,98585 11041,L85199JK1999PLC001969,Good,High,Good,Good,Good,R&D in dental biomaterials; export growth,Regulatory approvals; raw material imports,"Stable, export-led","Dental clinics; Exports (ME, Asia)",Medium,Low,,
MSME004,Quality Chrome Pvt Ltd,Metals / Ferro Alloys,"Kolkata, West Bengal",2020,120,"Ferro chrome, silico manganese, ferro manganese","Africa, SE Asia",40%,http://www.qualitychrome.co.in,contact@qualitychrome.co.in,98317 94860,U74999WB2020PTC237945,Good,Medium,Niche exporter,Developing,Good,Export-oriented production; commodity trading,Commodity price exposure; logistics,Moderate; commodity-dependent,"Global metals buyers, export markets",Low,Medium,,
MSME005,Line O Matic / Lineomatic India Pvt Ltd,Machinery / Paper converting,"Ahmedabad, Gujarat",1997,310,"Notebook making machines, paper converting equipment","Worldwide (exports to USA, Canada, Bhutan)",25%,https://www.lineomatic.com, info@lineomatic.com.,079 22816601,U74999GJ1995PTC025376,Strong,High,Well-known niche player,Good,Strong,Long-standing OEM; export orders,Competition from low-cost imports; aftermarket support,Stable with export opportunities,"Stationery manufacturers, packaging houses",Medium,Low,,
MSME006,PlanEdge Consultants Pvt Ltd,Project Management / Services,"Pune, Maharashtra",2002,320,"Project management, PMC services, construction consultancy",India (national),0%,https://www.planedge.in,bd@planedge.in,8888887891,U74900PN2002PTC016816,Strong,High,Market leader (PMC niche),High,Strong,Large project portfolio; client relationships,Dependence on construction sector cycles,Positive (infrastructure growth),"Real estate developers, institutional clients",High,Low,,
MSME007,Elkay Chemicals / Elkay Silicones Pvt Ltd,Chemicals / Silicone,"Pune, Maharashtra",1986,140,"Performance silicones, silicone fluids, emulsions",Global (industrial buyers),35%,https://elkaysilicones.com,sales@elkaysilicones.com,74200 01504,U24100MH1986PTC039957,Strong,Good,Export-oriented SME,Good,Strong,Speciality product R&D; exports,Raw material price swings; regulatory compliance,Good (speciality chemicals demand),"Industrial buyers, exporters",Medium,Low,,
MSME008,NewJaisa Technologies Limited,IT Hardware industry,"Bengaluru, Karnataka",2020,380,"Refurbished laptop/desktops, Mini PCs, Computer monitors",India (national),0%, https://newjaisa.com,support@newjaisa.com,91-9026265699,U32106KA2020PLC134935,Developing,Medium,Good,Developing,Developing,Refurbished IT products; growth in e-commerce,Raw material price volatility; Regulatory compliance,Positive (affordable IT products),India (online and e-commerce platforms),Medium,Low,,
MSME009,SB Scaffolding (India) Pvt Ltd,Construction / Scaffolding,"Navi Mumbai, Maharashtra",2005,180,"Scaffolding systems, formwork, props, rental services","India (construction projects), some exports",5%,https://sbscafform.co.in,sales@sbscafform.co.in,91-7977548838,U74999MH2012PTC227380,Good,Medium,Growing regional player,Developing,Medium,Rental model; construction demand,Project-payment cycles; safety compliance,Positive (infrastructure growth),"Construction contractors, developers",Low,Medium,,
MSME010,Kalyani Cast-Tech Limited,Foundry / Castings,Rewari / Haryana (registered office Delhi),2012,210,"Castings, precision cast components","Industrial exports, domestic OEMs",15%,https://kalyanicasttech.com,info@kalyanicasttech.com,91-11-26444400,U26990DL2012PLC242760,Developing,Good,Growing in foundry niche,Developing,Developing,Investment in capacity expansion; port-near site,Capital intensity; market cycles,Growth as manufacturing demand improves,"Automotive, industrial OEMs, exports",Medium,Medium,,
